Study Id,Title,Abstract,Year,Reference Type,Journal,First Author,Author Address,Inclusion Status,ScreeningInfo.Inclusion
002a11d1-7124-465a-81e3-4480d485af7f,Echocardiographic evaluation of the effects of stem cell therapy on perfusion and function in ischemic cardiomyopathy,"BACKGROUND: Small animal models of ischemic left ventricular (LV) dysfunction are important for the preclinical optimization of stem cell therapy. The aim of this study was to test the hypothesis that temporal changes in LV function and regional perfusion after cell therapy can be assessed in mice using echocardiographic imaging. METHODS: Wild-type mice (n = 25) were studied 7 and 28 days after permanent ligation of the left anterior descending coronary artery. Animals were randomized to receive closed-chest ultrasound-guided intramyocardial delivery of saline (n = 13) or 5 x 10(5) multipotential adult progenitor cells (MAPCs; n = 12) on day 7. LV end-diastolic and end-systolic volumes, LV ejection fraction, and stroke volume were measured using high-frequency echocardiography. Multiplanar assessments of perfusion and defect area size were made using myocardial contrast echocardiography. RESULTS: Between days 7 and 28, MAPC-treated animals had 40% to 50% reductions in defect size (P < .001) and 20% to 30% increases in total perfusion (P < .01). Perfusion did not change in nontreated controls. Both LV end-diastolic and end-systolic volumes increased between days 7 and 28 in both groups, but LV end-systolic volume increased to a lesser degree in MAPC-treated compared with control mice (+4.2 +/- 7.9 vs +19.2 +/- 22.0 muL, P < .05). LV ejection fraction increased in the MAPC-treated mice and decreased in control mice (+3.0 +/- 4.3% vs -5.6 +/- 5.9%, P < .01). There was a significant linear relation between the change in LV ejection fraction and the change in either defect area size or total perfusion. CONCLUSIONS: High-frequency echocardiography and myocardial contrast echocardiography in murine models of ischemic LV dysfunction can be used to assess the response to stem cell therapy and to characterize the relationship among spatial flow, ventricular function, and ventricular remodeling.",2014,Journal Article,J Am Soc Echocardiogr,Y. Inaba,"Knight Cardiovascular Institute, Oregon Health & Science University, Portland, Oregon.
Knight Cardiovascular Institute, Oregon Health & Science University, Portland, Oregon. Electronic address: linderj@ohsu.edu.",Excluded,0
01106457-41a7-4c82-b66a-d539253a91c1,Remote ischemic postconditioning alleviates cerebral ischemic injury by attenuating endoplasmic reticulum stress-mediated apoptosis,"Remote ischemic postconditioning (RIPostC) has been proved to protect the brain from stroke, but the precise mechanism remains not fully understood. In the present study, we aimed to investigate whether RIPostC attenuates cerebral ischemia-reperfusion injury by abating endoplasmic reticulum (ER) stress response. CHOP, a multifunctional transcription factor in ER stress, regulates the expression of genes related to apoptosis, such as Bim and Bcl-2. Male SD rats were subjected to right middle cerebral artery occlusion (MCAO) for 2 h followed by reperfusion, and RIPostC was induced by three cycles of 10 min ischemia and 10 min reperfusion on bilateral femoral arteries immediately after ischemia. CHOP siRNA (CHOPi) and control siRNA (Coni) were injected into the right lateral ventricle 30 min before the beginning of ischemia. RIPostC, CHOPi, or RIPostC + CHOPi application reduced infarct volume, improved the neurological function, and decreased cell apoptosis. RIPostC increased the protein level of glucose-regulated protein 78 (GRP78) and decreased the protein level of phosphorylated-EIF2alpha, caspase-12, and CHOP. Furthermore, the expression of CHOP, Bim and cleaved-caspase-3 was decreased, while Bcl-2 expression was increased in response to application of RIPostC, CHOPi, or RIPostC + CHOPi. In sum, RIPostC protects against ischemia-reperfusion brain injury in rats by attenuating ER stress response-induced apoptosis.",2014,Journal Article,Transl Stroke Res,X. Liu,"Cerebrovascular Diseases Research Institute, Xuanwu Hospital of Capital Medical University, 45 Changchun Street, Beijing, 100053, People's Republic of China.",Excluded,0
0152231e-1ca4-483b-a9c5-ef05d36e07ae,"Pro-GLP-1, a Pro-drug of GLP-1, is neuroprotective in cerebral ischemia","Pro-Glucagon-like peptide-1 (Pro-GLP-1), a long-lasting GLP-1 receptor (GLP-1R) agonist, was developed using a polymeric pro-drug strategy and its neuroprotective effects on ischemic stroke were investigated in C57BL/6 mice. Pro-GLP-1 was injected into the intraperitoneal cavity of C57BL/6 mice once a day for 7days before middle cerebral artery occlusion (MCAO) surgery. The neurological deficit score and TTC staining were determined 24h after ischemia. The results demonstrated that Pro-GLP-1 was slowly degraded in the plasma and brain of the mice, and GLP-1 could be detected even 12h after administration. Pro-GLP-1 was significantly neuroprotective in C57BL/6 mice subjected to MCAO. In cultured cortical neurons, treatment with Pro-GLP-1 attenuated apoptosis induced by oxygen-glucose deprivation (OGD). The neuroprotective effects of Pro-GLP-1 were blocked by a selective GLP-1 receptor antagonist and knockdown of GLP-1 receptor with shRNA. However, Pro-GLP-1 had no effect on blood glucose and insulin levels which indicated that neuroprotection was mediated by the activation of GLP-1 receptor in the brain. Pro-GLP-1 repaired the balance of pro- and anti-apoptotic proteins and decreased the expression of caspase-3. The anti-apoptotic effect was mediated by the cAMP/PKA and PI3K/Akt pathway. Our research provides evidence that pre-treatment of MCAO mice with Pro-GLP-1 exerts a neuroprotective effect mediated by a blockade of apoptosis and that Pro-GLP-1 might be a potential neuroprotective agent candidate against ischemic stroke.",2015,Journal Article,Eur J Pharm Sci,H. Zhang,"Department of Pharmacology, School of Pharmacy, The Fourth Military Medical University, Xi'an, China.
Department of Pharmacology, School of Pharmacy, The Fourth Military Medical University, Xi'an, China. Electronic address: xxluo3@fmmu.edu.cn.",Excluded,0
0282c2f6-7370-4478-97ee-7158f3c74616,Identification of isoxsuprine hydrochloride as a neuroprotectant in ischemic stroke through cell-based high-throughput screening,"Stroke is a leading cause of death and disability and treatment options are limited. A promising approach to accelerate the development of new therapeutics is the use of high-throughput screening of chemical libraries. Using a cell-based high-throughput oxygen-glucose deprivation (OGD) model, we evaluated 1,200 small molecules for repurposed application in stroke therapy. Isoxsuprine hydrochloride was identified as a potent neuroprotective compound in primary neurons exposed to OGD. Isoxsuprine, a beta2-adrenergic agonist and NR2B subtype-selective N-methyl-D-aspartate (NMDA) receptor antagonist, demonstrated no loss of efficacy when administered up to an hour after reoxygenation in an in vitro stroke model. In an animal model of transient focal ischemia, isoxsuprine significantly reduced infarct volume compared to vehicle (137 +/- 18 mm3 versus 279 +/- 25 mm3, p < 0.001). Isoxsuprine, a peripheral vasodilator, was FDA approved for the treatment of cerebrovascular insufficiency and peripheral vascular disease. Our demonstration of the significant and novel neuroprotective action of isoxsuprine hydrochloride in an in vivo stroke model and its history of human use suggest that isoxsuprine may be an ideal candidate for further investigation as a potential stroke therapeutic.",2014,Journal Article,PLoS One,J. W. Hill,"University of New Mexico Health Sciences Center, Department of Neurology, Albuquerque, New Mexico, United States of America.
Center for Molecular Discovery, University of New Mexico Health Sciences Center, Albuquerque, New Mexico, United States of America.",Excluded,0
02a09ccf-2d47-4758-b13d-7d774e4ba938,Stress-induced glucocorticoid signaling remodels neurovascular coupling through impairment of cerebrovascular inwardly rectifying K+ channel function,"Studies of stress effects on the brain have traditionally focused on neurons, without considering the cerebral microcirculation. Here we report that stress impairs neurovascular coupling (NVC), the process that matches neuronal activity with increased local blood flow. A stressed phenotype was induced in male rats by administering a 7-d heterotypical stress paradigm. NVC was modeled by measuring parenchymal arteriole (PA) vasodilation in response to neuronal stimulation in amygdala brain slices. After stress, vasodilation of PAs to neuronal stimulation was greatly reduced, and dilation of isolated PAs to external K(+) was diminished, suggesting a defect in smooth muscle inwardly rectifying K(+) (KIR) channel function. Consistent with these observations, stress caused a reduction in PA KIR2.1 mRNA and smooth muscle KIR current density, and blocking KIR channels significantly inhibited NVC in control, but not in stressed, slices. Delivery of corticosterone for 7 d (without stressors) or RU486 (before stressors) mimicked and abrogated NVC impairment by stress, respectively. We conclude that stress causes a glucocorticoid-mediated decrease in functional KIR channels in amygdala PA myocytes. This renders arterioles less responsive to K(+) released from astrocytic endfeet during NVC, leading to impairment of this process. Because the fidelity of NVC is essential for neuronal health, the impairment characterized here may contribute to the pathophysiology of brain disorders with a stress component.",2014,Journal Article,Proc Natl Acad Sci U S A,T. A. Longden,"Departments of Pharmacology and.
Psychology, University of Vermont, Burlington, VT 05405; and.
Departments of Pharmacology andInstitute of Cardiovascular Sciences, University of Manchester, Manchester M13 9PL, United Kingdom Mark.Nelson@uvm.edu.",Excluded,0
036dad0e-5d5a-44ac-aad8-4bca022bdb17,"Spontaneous white matter damage, cognitive decline and neuroinflammation in middle-aged hypertensive rats: an animal model of early-stage cerebral small vessel disease","INTRODUCTION: Cerebral small vessel disease (cSVD) is one of the most prevalent neurological disorders. The progressive remodeling of brain microvessels due to arterial hypertension or other vascular risk factors causes subtle, but constant cognitive decline through to manifest dementia and substantially increases the risk for stroke. Preliminary evidence suggests the contribution of the immune system to disease initiation and progression, but a more detailed understanding is impaired by the unavailability of appropriate animal models. Here, we introduce the spontaneously hypertensive rat (SHR) as a model for early onset cSVD and unveiled substantial immune changes in conjunction with brain abnormalities that resemble clinical findings. RESULTS: In contrast to age-matched normotensive Wistar Kyoto (WKY) rats, male SHR exhibited non-spatial memory deficits. Magnetic resonance imaging showed brain atrophy and a reduction of white matter volumes in SHR. Histological analyses confirmed white matter demyelination and unveiled a circumscribed blood brain barrier dysfunction in conjunction with micro- and macrogliosis in deep cortical regions. Flow cytometry and histological analyses further revealed substantial disparities in cerebral CD45high leukocyte counts and distribution patterns between SHR and WKY. SHR showed lower counts of T cells in the choroid plexus and meningeal spaces as well as decreased interleukin-10 levels in the cerebrospinal fluid. On the other hand, both T and NK cells were significantly augmented in the SHR brain microvasculature. CONCLUSIONS: Our results indicate that SHR share behavioral and neuropathological characteristics with human cSVD patients and further undergird the relevance of immune responses for the initiation and progression of cSVD.",2014,Journal Article,Acta Neuropathol Commun,D. Kaiser,"Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. daniel.kaiser@izi.fraunhofer.de.
Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. gesa.weise@izi.fraunhofer.de.
Department of Neurology, University of Leipzig, Leipzig, Germany. gesa.weise@izi.fraunhofer.de.
Translational Centre for Regenerative Medicine, Leipzig, Germany. gesa.weise@izi.fraunhofer.de.
Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. karoline.moeller@izi.fraunhofer.de.
Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. johanna.scheibe@izi.fraunhofer.de.
Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. claudia.poesel@izi.fraunhofer.de.
Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. sebastian.baasch@izi.fraunhofer.de.
Department of Radiology, University of Leipzig, Leipzig, Germany. Matthias.Gawlitza@medizin.uni-leipzig.de.
Department of Neuroradiology, University of Leipzig, Leipzig, Germany. donald.lobsien@medizin.uni-leipzig.de.
Department of Neurology, University of Munster, Munster, Germany. kai.diederich@uni-muenster.de.
Department of Neurology, University of Munster, Munster, Germany. minnerup@uni-muenster.de.
Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. alexander.kranz@izi.fraunhofer.de.
Translational Centre for Regenerative Medicine, Leipzig, Germany. alexander.kranz@izi.fraunhofer.de.
Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. johannes.boltze@izi.fraunhofer.de.
Translational Centre for Regenerative Medicine, Leipzig, Germany. johannes.boltze@izi.fraunhofer.de.
Fraunhofer Institute for Cell Therapy and Immunology, Perlickstrasse 1, 04103, Leipzig, Germany. daniel-christoph.wagner@izi.fraunhofer.de.
Translational Centre for Regenerative Medicine, Leipzig, Germany. daniel-christoph.wagner@izi.fraunhofer.de.",Excluded,1
038b852e-6b1c-4178-9ab1-8d1e76a92c07,Baicalin inhibiting cerebral ischemia/hypoxia-induced neuronal apoptosis via MRTF-A-mediated transactivity,"Baicalin has been shown to provide the neuroprotective effect by alleviating cerebral ischemia injury. However, little's known about the underlying mechanism. Here, a cerebral artery occlusion (MACO)/reperfusion rat model and rat primary cortical neuron culture exposed to hydrogen peroxide (H2O2) were established to evaluate the effect of baicalin on ischemia-induced neuronal apoptosis. We found baicalin can significantly less neurological deficit and reduced infarct volume in vivo. And it efficiently inhibited neuronal apoptosis in vivo and vitro, which was especially characterized by the enhancing of transcription and expression of myeloid cell leukemia-1 (MCL-1) and B-cell lymphoma-2 (BCL-2) in a dose-dependent manner. Furthermore, Baicalin markedly increased myocardin-related transcription factor-A (MRTF-A) level either in ischemic hemisphere or in primary cortical neuron cultures, whiles the anti-apoptosis effect of baicalin was significantly inhibited by transfected with the small interfering RNA of MRTF-A (MRTF-A siRNA) in primary cortical neuron cultures. The luciferase assays also indicated baicalin enhanced the transactivity of MCL-1 and BCL-2 promoter by activating the key CArG box (CC [A/T] 6GG) element, which was reduced by MRTF-A siRNA, suggesting MRTF-A may participate the anti-apoptosis effect of baicalin, and MRTF-A was involved in the transcriptional activity of MCL-1 and BCL-2 that was induced by baicalin. LY294002 (phosphatidylinositol-3 kinase (PI3K) inhibitor) and PD98059 (extracellular signal regulates kinase-1/2 (ERK1/2) inhibitor) obviously reduced baicalin-induced MRTF-A expression and transactivity and expression of MCL-1 and BCL-2, which further abolished the anti-apoptotic effect of baicalin on neuronal apoptosis. Taken together, our data provided the evidence demonstrating the neuroprotective effect of baicalin partially due to MRTF-A-mediated transactivity and expression of MCL-1 and BCL-2 by triggering the CArG box, which might be controlled by the activation of PI3K and ERK1/2.",2015,Journal Article,Eur J Pharmacol,W. X. Zheng,"Department of Pharmacy, Yangtze River Shipping General Hospital, Wuhan, 430010 Hubei Province, China.
Department of Pharmacy, College of Medicine, Wuhan University of Science and Technology, Wuhan, 430065 Hubei Province, China; Drug research base of cardiovascular and cerebral vascular, Wuhan University of Science and Technology, China.
Department of Pharmacy, College of Medicine, Wuhan University of Science and Technology, Wuhan, 430065 Hubei Province, China.
Department of Pharmacy, Yangtze River Shipping General Hospital, Wuhan, 430010 Hubei Province, China. Electronic address: wu_fangjian@163.com.
Department of Pharmacy, College of Medicine, Wuhan University of Science and Technology, Wuhan, 430065 Hubei Province, China; Drug research base of cardiovascular and cerebral vascular, Wuhan University of Science and Technology, China. Electronic address: huxiaming@163.com.",Excluded,0
041725c0-c0a1-4c38-8610-f75e9996e7f2,Expression and cell distribution of SENP3 in the cerebral cortex after experimental subarachnoid hemorrhage in rats: a pilot study,"Subarachnoid hemorrhage (SAH) is one of the life-threatening diseases with high morbidity and mortality rates. Small ubiquitin-like modifier (SUMO)-specific proteases 3 (SENP3), a member of the SUMO-specific protease family, was identified as an isopeptidase that deconjugates SUMOylation (The covalent modification by SUMO) of modified protein substrates. It is reported that SUMO-2/3 conjugation, a member of SUMOylation, presented neuroprotection. The study aimed to evaluate the expression of SENP3 and to explore its role potential role in SAH. A total of 95 Sprague-Dawley rats were randomly divided into sham group and SAH groups at 6, 12, 24, 48 h, day 3, day 5, and day 7. SAH groups suffered experimental SAH by injection with 0.3 ml nonheparinized autoblood into the prechiasmatic cistern. SENP3 expression is surveyed by western blot analysis, real-time polymerase chain reaction, immunohistochemistry, and immunofluorescence. The levels of cleavage caspase-3 were determined by western blot and immunohistochemistry. SENP3 protein expression was significantly up-regulated after SAH which peaked at 24 h; however, the mRNA expression of SENP3 remained unchanged. Meanwhile, the level of cleaved caspase-3 was also increased after SAH. There is a highly positive correlation between cleavage caspase-3 and SENP3 in protein level. Immunofluorescent results showed that the expression of SENP3 was increased in neurons, rather than astrocytes nor microglia. Our findings indicated a possible role of SENP3 in the pathogenesis of early brain injury mediated by apoptosis following SAH.",2015,Journal Article,Cell Mol Neurobiol,Y. Q. Yang,"Department of Neurosurgery, Jinling Hospital, School of Medicine, Nanjing University, 305 East Zhongshan Road, Nanjing, 210002, Jiangsu Province, China.",Excluded,0
04240724-0b37-4ec2-a548-3a2067114a80,Matricellular protein: a new player in cerebral vasospasm following subarachnoid hemorrhage,"INTRODUCTION: Matricellular protein (MCP) is a class of nonstructural and secreted extracellular matrix proteins that exert diverse functions, but its role in vascular smooth muscle contraction has not been investigated. MATERIAL AND METHODS: First, rat subarachnoid hemorrhage (SAH) models were produced by endovascular perforation and examined for tenascin-C (TNC) and osteopontin (OPN) induction (representatives of MCPs) in vasospastic cerebral arteries using immunostaining. Second, recombinant TNC (r-TNC), recombinant OPN (r-OPN), or both were injected into a cisterna magna in healthy rats, and the effects on the diameter of basilar arteries were determined using India ink angiography. RESULTS: In SAH rats, TNC immunoreactivity was markedly induced in the smooth muscle cell layers of spastic cerebral arteries on day 1 but not in control animals. The TNC immunoreactivity decreased on day 3 as vasospasm improved: OPN immunoreactivity, on the other hand, was more induced in the arterial wall on day 3. r-TNC injections caused prolonged contractions of rat basilar arteries, which were reversed by r-OPN, although r-OPN itself had no effect on the vessel diameter. CONCLUSIONS: MCPs, including TNC and OPN, may contribute to the pathophysiology of cerebral vasospasm and provide a novel therapeutic approach against it.",2013,Journal Article,Acta Neurochir Suppl,H. Suzuki,"Department of Neurosurgery, Mie University Graduate School of Medicine, Mie, Japan. suzuki02@clin.medic.mie-u.ac.jp",Excluded,0
04a4f36d-d372-4abc-af91-d49de02c994e,The Role of SUMO-Conjugating Enzyme Ubc9 in the Neuroprotection of Isoflurane Preconditioning Against Ischemic Neuronal Injury,"Preconditioning with volatile anesthetics can create an ischemia tolerance against cerebral ischemia-reperfusion injury. We investigated whether ubiquitin conjugase 9 (Ubc9), the E2 conjugase for SUMOylation, is associated with neuroprotection induced by isoflurane preconditioning (IsoPC). In vitro, Ubc9 protein expression was evaluated at 4 and 24 h after reoxygenation. The role of Ubc9 in the neuroprotective effect was assessed in the presence or absence of Ubc9 small interfering RNA (siRNA). In vivo, rats were preconditionally exposed for 1 h to 2% isoflurane for five consecutive days followed by middle cerebral artery occlusion. Neurobehavioral scores and infarction volume were determined at different times after reperfusion. The role of Ubc9 in ischemic tolerance was evaluated by intracerebroventricular microinjection with the Ubc9 siRNA. We showed that isoflurane preconditioning improved the cell viability of the SH-SY5Y cells that were challenged by oxygen-glucose deprivation. It also reduced brain infarct volumes and improved neurologic outcomes in the focal cerebral ischemic rat. The expression of Ubc9 was upregulated by isoflurane preconditioning. Knockdown of Ubc9 significantly attenuated the isoflurane preconditioning-induced neuroprotective effects. Isoflurane preconditioning-induced neuroprotection against ischemic injuries is mediated by Ubc9. These results suggest a novel mechanism for isoflurane preconditioning-induced tolerance to cerebral ischemia.",2015,Journal Article,Mol Neurobiol,L. Tong,"Department of Anesthesiology, Xijing Hospital, Xi'an, Shaanxi, 710032, China.",Excluded,0
