X_id	StudyId	Title	AuthorAddress	fileName	Year	Url	PublicationName.Name	PublicationName.AlternateName	DOI	randomFlag	blindingFlag	sampleFlag	Email	FirstAuthorAddress	FirstAuthorInstitution	FirstAuthorLocation	FirstAuthorCountry	ScreeningInfo.Inclusion	pubdate
09BF5EE9-9B4D-4DEA-BEE6-B6FB770C7E6D	d5d5f76e-65fa-45ef-a55e-6f49a328aab3	'Not-so-minor' stroke: Lasting psychosocial consequences of anterior cingulate cortical ischemia in the rat	Division of BioMedical Sciences, Memorial University, St. John's, NL, Canada.\rDivision of BioMedical Sciences, Memorial University, St. John's, NL, Canada; Heart & Stroke Foundation Canadian Partnership for Stroke Recovery, Canada; Dept Cellular & Molecular Medicine, University of Ottawa, Ottawa, ON, Canada; Dept of Medicine, University of Toronto, Toronto, ON, Canada. Electronic address: dcorbett@uottawa.ca.	/2678680104/Hewlett-2014-'Not-so-minor' strok	2014	http://ac.els-cdn.com/S0014488614002568/1-s2.0-S0014488614002568-main.pdf?_tid=489eaf18-d7be-11e6-b72e-00000aacb362&acdnat=1484112474_9206c9f969caffa31a9303575d006eb4	Exp Neurol	Experimental neurology	10.1016/j.expneurol.2014.07.024	TRUE	TRUE	FALSE	dcorbett@uottawa.ca	Division of BioMedical Sciences, Memorial University, St. John's, NL, Canada.	memorial university	St John's, NL, Canada.	canada	1	2014/08/19
A96CC1F9-FDA7-4C03-ADB1-FCC04E4D342E	717dd04c-76ed-47c8-83ab-41d8aba0abee	[18F]FEBMP: Positron Emission Tomography Imaging of TSPO in a Model of Neuroinflammation in Rats, and in vitro Autoradiograms of the Human Brain	1. Molecular Imaging Centre, National Institute of Radiological Sciences, Chiba, Japan ; 2. Division of Cyclotron and Radiopharmaceutical Sciences, Institute of Nuclear Medicine and Allied Sciences, Delhi, India.\r1. Molecular Imaging Centre, National Institute of Radiological Sciences, Chiba, Japan.\r3. Department of Nuclear Medicine, Nanjing Hospital, Affiliated to Nanjing Medical University, Nanjing, China .		2015		Theranostics	Theranostics	10.7150/thno.12027					1. Molecular Imaging Centre, National Institute of Radiological Sciences, Chiba, Japan ; 2. Division of Cyclotron and Radiopharmaceutical Sciences, Institute of Nuclear Medicine and Allied Sciences, Delhi, India.	national institute of radiological sciences, institute of nuclear medicine and allied sciences	Delhi, India	india	0	2015/07/15
95A8D372-9567-4053-86AD-203C8EFD75F8	93b029ff-a6b0-460c-b753-6572bfd89ea6	[Buyang Huanwu decoction promotes neuroblast migration from subventricular zone via inducing angiogenesis after ischemia]			2015		Zhongguo Zhong Yao Za Zhi	Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica							NA	NA	NA	0	2015/06/18
B6F096A8-6B52-41F5-8AC5-D5C0F1152A2C	b5e4c2a7-484c-4522-818d-1768f1584b4b	[CADASIL (Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy) and CARASIL (Cerebral Autosomal Recessive Arteriopathy with Subcortical Infarcts and Leukoencephalopathy)]	Department of Neurology, Clinical Neuroscience Branch, Niigata University Brain Research Institute.		2011		Nihon Rinsho	Nihon rinsho. Japanese journal of clinical medicine						Department of Neurology, Clinical Neuroscience Branch, Niigata University Brain Research Institute.	clinical neuroscience branch, niigata university brain research institute., niigata university brain research institute.	NA, Niigata University Brain Research Institute	japan	0	2012/07/05
50156B33-5B34-4F88-AD69-5EC2A35D85F7	808ef595-0f91-4b6a-b416-881b9938e67e	[Characteristics of the regulation of neurotrophic mechanisms in ischemic stroke]	Kirov Military Medical Academy, St. Petersburg.\rSt. Petersburg State Pediatric Medical University, St. Petersburg.\rInstitute of Toxicology of the Federal Medical-Biological Agency, St. Petersburg.		2015		Zh Nevrol Psikhiatr Im S S Korsakova	Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova						Kirov Military Medical Academy, St. Petersburg.		St Petersburg.		0	2015/09/12
8A1BC381-D3D0-4F85-A5D1-2ABE2E861695	083c6d06-41e1-4e50-ad6a-2137cc1f6817	[Diagnosis, pathomechanism and treatment of CADASIL]	Department of Neurology, Kyoto Prefectural University of Medicine.		2012		Rinsho Shinkeigaku	Rinsho shinkeigaku = Clinical neurology						Department of Neurology, Kyoto Prefectural University of Medicine.	kyoto prefectural university of medicine.	NA, Kyoto Prefectural University of Medicine	japan	0	2012/06/13
D54CCBF1-0F17-41E2-9E43-BA58C21ACC79	50d594ee-e116-4932-8e38-ccd64cd34a2a	[Metabolomics in ischaemic stroke, new diagnostic and prognostic biomarkers]	Unidad de Ictus, Hospital Universitari Arnaude Vilanova, Grupo de Neurociencias Clinicas, Universitat de Lleida, Avda. Rovira Roure 80, Lleida, Spain.		2013		Rev Neurol	Revista de neurologia						Unidad de Ictus, Hospital Universitari Arnaude Vilanova, Grupo de Neurociencias Clinicas, Universitat de Lleida, Avda. Rovira Roure 80, Lleida, Spain.	hospital universitari arnaude vilanova, grupo de neurociencias clinicas, universitat de lleida, universitat de lleida	Avda Rovira Roure 80, Lleida, Spain.	spain	0	2013/06/27
EE0F9CC6-60DE-4322-9A18-1AE0C7A48021	9cb4c2d1-67c8-49fa-93a3-a3e6b2bb0a39	[Novel neuroprotective agents: a HIF activator and an Akt activator]	Department of Neurology, Tokai University.		2012		Rinsho Shinkeigaku	Rinsho shinkeigaku = Clinical neurology						Department of Neurology, Tokai University.	tokai university.	NA, Tokai University	japan	0	2012/12/01
99CAE689-4209-4F22-8439-ED520DF5DFCD	3858a396-1fed-409d-92db-ae3a86e46621	[Pathophysiological significance of the canonical transient receptor potential (TRPC) subfamily in astrocyte activation]	Department of Molecular Pharmacology, Graduate School of Pharmaceutical Sciences, Kyoto University, Japan. shirakaw@pharm.kyoto-u.ac.jp		2012		Yakugaku Zasshi	Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan					shirakaw@pharm.kyoto-u.ac.jp	Department of Molecular Pharmacology, Graduate School of Pharmaceutical Sciences, Kyoto University, Japan. shirakaw@pharm.kyoto-u.ac.jp	department of molecular pharmacology, graduate school of pharmaceutical sciences, kyoto university	Japan	japan	0	2012/06/13
EEF0BE05-A0B4-4745-BDC6-5BEE58F6D71A	2bcfa070-9655-45fd-a647-1ba2b1baa307	[Role of CD4(+)CD25(+) regulatory T cells and Foxp3 in the pathophysiology of acute cerebral ischemia in rats]	Department of Neurology, Zhujiang Hospital, Southern Medical University, Guangzhou, China. 1234567crq@163.com		2012		Nan Fang Yi Ke Da Xue Xue Bao	Nan fang yi ke da xue xue bao = Journal of Southern Medical University					1234567crq@163.com	Department of Neurology, Zhujiang Hospital, Southern Medical University, Guangzhou, China. 1234567crq@163.com	zhujiang hospital, southern medical university	Guangzhou, China	china	0	2012/05/17
