X_id	StudyId	Title	AuthorAddress	fileName	Year	Url	PublicationName.Name	PublicationName.AlternateName	DOI	randomFlag	blindingFlag	sampleFlag	Email	FirstAuthorAddress	FirstAuthorInstitution	FirstAuthorLocation	FirstAuthorCountry	ScreeningInfo.Inclusion	pubdate
09BF5EE9-9B4D-4DEA-BEE6-B6FB770C7E6D	d5d5f76e-65fa-45ef-a55e-6f49a328aab3	'Not-so-minor' stroke: Lasting psychosocial consequences of anterior cingulate cortical ischemia in the rat	Division of BioMedical Sciences, Memorial University, St. John's, NL, Canada.\rDivision of BioMedical Sciences, Memorial University, St. John's, NL, Canada; Heart & Stroke Foundation Canadian Partnership for Stroke Recovery, Canada; Dept Cellular & Molecular Medicine, University of Ottawa, Ottawa, ON, Canada; Dept of Medicine, University of Toronto, Toronto, ON, Canada. Electronic address: dcorbett@uottawa.ca.	/2678680104/Hewlett-2014-'Not-so-minor' strok	2014	http://ac.els-cdn.com/S0014488614002568/1-s2.0-S0014488614002568-main.pdf?_tid=489eaf18-d7be-11e6-b72e-00000aacb362&acdnat=1484112474_9206c9f969caffa31a9303575d006eb4	Exp Neurol	Experimental neurology	10.1016/j.expneurol.2014.07.024	TRUE	TRUE	FALSE	dcorbett@uottawa.ca	Division of BioMedical Sciences, Memorial University, St. John's, NL, Canada.	memorial university	St John's, NL, Canada.	canada	1	2014/08/19
4DDBFD28-EB20-4DCB-9967-039AE967C3BC	3581b94c-df33-42dd-92b4-1214ab706ebf	A Cyclooxygenase-2 Inhibitor Reduces Vascular Wall Thickness and Ameliorates Cognitive Impairment in a Cerebral Small Vessel Diseases Rat Model	Department of Neurology, Shanghai Pudong Hospital, Fudan University Pudong Medical Center, Pudong, Shanghai 201399, China. jianhuifu@126.com.		2015		Curr Alzheimer Res	Current Alzheimer research					jianhuifu@126.com	Department of Neurology, Shanghai Pudong Hospital, Fudan University Pudong Medical Center, Pudong, Shanghai 201399, China. jianhuifu@126.com.	shanghai pudong hospital, fudan university pudong medical center, fudan university pudong medical center, fudan university pudong medical center	Pudong, Shanghai 9, China .	china	1	2015/07/15
2A89AE66-CECF-47B8-AB66-31DA8A8CF571	fe622c82-4979-41dc-bf48-948f20166f9e	A mouse model of small-vessel disease that produces brain-wide-identified microocclusions and regionally selective neuronal injury	1] Department of Psychiatry, Kinsmen Laboratory of Neurological Research, Vancouver, British Columbia, Canada [2] Brain Research Centre, University of British Columbia, Vancouver, British Columbia, Canada.\rDepartment of Psychiatry, Kinsmen Laboratory of Neurological Research, Vancouver, British Columbia, Canada.		2015		J Cereb Blood Flow Metab	Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism	10.1038/jcbfm.2015.8					1] Department of Psychiatry, Kinsmen Laboratory of Neurological Research, Vancouver, British Columbia, Canada [2] Brain Research Centre, University of British Columbia, Vancouver, British Columbia, Canada.	canada [ brain research centre, university of british columbia	Vancouver, British Columbia, Canada	canada	1	2015/02/19
209A7F3E-73CA-42FC-A4B7-6785E010EDDD	8434e4c2-50d9-4825-b8cc-657c66c1ea4c	A novel embolic middle cerebral artery occlusion model induced by thrombus formed in common carotid artery in rat	Beijing Key Laboratory of Drug Target and Screening Research, Institute of Materia Medica, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing 100050, China.\rShandong Ehua Biopharmaceutical Co., Ltd., Shandong 252201, China; Shandong Dong-e E-Jiao Co., Ltd., Shandong 252201, China.\rShandong Dong-e E-Jiao Co., Ltd., Shandong 252201, China.\rShandong Ehua Biopharmaceutical Co., Ltd., Shandong 252201, China.\rBeijing Key Laboratory of Drug Target and Screening Research, Institute of Materia Medica, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing 100050, China. Electronic address: dugh@imm.ac.cn.	/3757785259/Ma-2015-A novel embolic midd	2015	http://ac.els-cdn.com/S0022510X15024508/1-s2.0-S0022510X15024508-main.pdf?_tid=76da57dc-d7d3-11e6-88a9-00000aacb35e&acdnat=1484121571_5dffc3d0b837fab1834b57a5d3d5fa8a	J Neurol Sci	Journal of the neurological sciences	10.1016/j.jns.2015.09.362	TRUE	TRUE	FALSE	dugh@imm.ac.cn	Beijing Key Laboratory of Drug Target and Screening Research, Institute of Materia Medica, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing 100050, China.	institute of materia medica, chinese academy of medical sciences & peking union medical college, chinese academy of medical sciences & peking union medical college	Beijing 0, China	china	1	2015/12/17
540BD3BF-A6D8-4D4E-8299-CC715960FA66	d6a428e7-34ad-4946-91e9-9759c5b0bca1	A novel embolic stroke model resembling lacunar infarction following proximal middle cerebral artery occlusion in beagle dogs	Department of Radiology, The First Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu 210029, China.	/0276581283/Liu-2012-A novel embolic stro	2012	http://ac.els-cdn.com/S0165027012002221/1-s2.0-S0165027012002221-main.pdf?_tid=4f7bf114-d7d3-11e6-848b-00000aacb35d&acdnat=1484121505_678f29ee1746f8e165b47580cab2d61e	J Neurosci Methods	Journal of neuroscience methods	10.1016/j.jneumeth.2012.06.009					Department of Radiology, The First Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu 210029, China.	the first affiliated hospital of nanjing medical university	Nanjing, Jiangsu 9, China	china	1	2012/06/23
BF1880E0-3E59-4C30-8B6F-7353ECF5BAA0	9724555f-7962-4a35-ac09-b46b6330323c	A novel mouse model of subcortical infarcts with dementia	Departments of Regenerative Medicine and.\rInvestigative Radiology, National Cerebral and Cardiovascular Center, Suita, Osaka 565-8565 Japan.\rDepartment of Neurology, Kyoto University Graduate School of Medicine, Kyoto 606-8507 Japan, and.\rDepartments of Regenerative Medicine and Department of Neurology, Kyoto University Graduate School of Medicine, Kyoto 606-8507 Japan, and.\rDepartment of Neurology, Kyoto University Graduate School of Medicine, Kyoto 606-8507 Japan, and Department of Stroke and Cerebrovascular Diseases, National Cerebral and Cardiovascular Center, Osaka 565-8565 Japan.\rDepartment of Stroke and Cerebrovascular Diseases, National Cerebral and Cardiovascular Center, Osaka 565-8565 Japan.\rDepartments of Regenerative Medicine and Department of Stroke and Cerebrovascular Diseases, National Cerebral and Cardiovascular Center, Osaka 565-8565 Japan ihara@ncvc.go.jp.	/1888703232/Hattori-2015-A novel mouse model	2015	http://www.jneurosci.org/content/jneuro/35/9/3915.full.pdf	J Neurosci	The Journal of neuroscience : the official journal of the Society for Neuroscience	10.1523/jneurosci.3970-14.2015	TRUE	FALSE	FALSE	ihara@ncvc.go.jp	Departments of Regenerative Medicine and.		Departments of Regenerative Medicine and	germany	1	2015/03/06
0595E06C-2275-416D-9754-B00B4E334778	f2dbc97d-b7c3-4133-9ead-6fd8455c5007	A translational paradigm for the preclinical evaluation of the stroke neuroprotectant Tat-NR2B9c in gyrencephalic nonhuman primates	Toronto Western Hospital Research Institute, Department of Physiology, University of Toronto, Toronto, Ontario M5T 2S8, Canada.	/0854009351/Cook-2012-A translational para	2012	http://stm.sciencemag.org/content/scitransmed/4/154/154ra133.full.pdf	Sci Transl Med	Science translational medicine	10.1126/scitranslmed.3003824	TRUE	TRUE	TRUE		Toronto Western Hospital Research Institute, Department of Physiology, University of Toronto, Toronto, Ontario M5T 2S8, Canada.	toronto western hospital research institute, university of toronto	Toronto, Ontario M5T 2S8, Canada	canada	1	2012/10/05
3CDD6F82-EF93-44B3-BCF8-5895550AF145	f8a8d6b7-f314-4cb6-ad68-c3447136cb14	A Versatile Murine Model of Subcortical White Matter Stroke for the Study of Axonal Degeneration and White Matter Neurobiology	JHinman@mednet.ucla.edu.	/2417153200/Nunez-2016-A Versatile Murine M	2016	http://www.jove.com/pdf/53404/jove-protocol-53404-a-versatile-murine-model-subcortical-white-matter-stroke-for-study	J Vis Exp	Journal of visualized experiments : JoVE	10.3791/53404				JHinman@mednet.ucla.edu	JHinman@mednet.ucla.edu.			united states of america	1	2016/03/31
972B1482-FC65-4A51-BF2B-0D0615DC6E50	ccb21f88-80cd-4d45-8ae8-3952ba8ffebd	Abnormal recruitment of extracellular matrix proteins by excess Notch3 ECD: a new pathomechanism in CADASIL	INSERM, U740, Paris, F-75010, France.	/2713775844/Monet-Lepretre-2013-Abnormal recruitment	2013	http://brain.oxfordjournals.org/content/brain/136/6/1830.full.pdf	Brain	Brain : a journal of neurology	10.1093/brain/awt092	TRUE	FALSE	FALSE		INSERM, U740, Paris, F-75010, France.	inserm	U740, Paris, F-, France	france	1	2013/05/08
720F6C33-118A-43D9-AA85-730985FCFBD5	24d271a1-cf80-45ab-9bb3-86a23533ee3e	Antiplatelet loading improves behavioral outcome in a rabbit model of stroke	From the Department of Neurosciences, University of California, San Diego, La Jolla, CA (D.M.M., J.A.Z.); and School of Nursing, University of California, Los Angeles, CA (D.M.M., P.C., J.-A.E., K.G.).	/0716938260/Meyer-2013-Antiplatelet loading	2013	http://stroke.ahajournals.org/content/strokeaha/44/11/3246.full.pdf	Stroke	Stroke	10.1161/strokeaha.113.002565	TRUE	TRUE	FALSE		From the Department of Neurosciences, University of California, San Diego, La Jolla, CA (D.M.M., J.A.Z.); and School of Nursing, University of California, Los Angeles, CA (D.M.M., P.C., J.-A.E., K.G.).	university of california los angeles	San Diego, La Jolla, CA  and School of Nursing, University of California, Los Angeles, CA	united states of america	1	2013/08/29
