fileName	randomFlag	blindingFlag	sampleFlag
0005458433\Chen-2014-Neuronal over-expres	TRUE	TRUE	FALSE
0009183128\Lehmann-2014-Inflammatory cell re	TRUE	FALSE	FALSE
0011302525\Hoda-2014-Remote ischemic perc	TRUE	TRUE	FALSE
0012450052\Begum-2015-Inhibition of WNK3 K	FALSE	TRUE	FALSE
0017042316\Park-2015-Human umbilical cord	TRUE	TRUE	FALSE
0019856729\Shah-2015-Nicotine pre-exposur	TRUE	TRUE	FALSE
0020284171\Han-2014-Ischemic postconditi	TRUE	TRUE	FALSE
0021238023\Engel-2015-Cholinergic Pathway	TRUE	TRUE	TRUE
0024417339\Secondo-2015-Pharmacological char	FALSE	TRUE	FALSE
0024802506\Zuloaga-2014-Mechanism of protect	TRUE	FALSE	FALSE
0024859602\Tan-2015-Severe instead of mi	TRUE	TRUE	FALSE
0040085559\Courties-2015-Ischemic stroke acti	FALSE	FALSE	FALSE
0045696976\Ran-2015-Calorie restriction	TRUE	TRUE	FALSE
0056871183\Beom-2015-Concurrent use of gr	TRUE	TRUE	TRUE
0064269247\Chen-2014-Effect of Gua Lou Gu	TRUE	FALSE	FALSE
0066877648\Zhao-2014-Ischemic postconditi	TRUE	TRUE	FALSE
0069874066\Melani-2014-Low doses of the sel	TRUE	TRUE	FALSE
0070404406\dela Pena-2015-Granulocyte colony-s	TRUE	TRUE	TRUE
0078272704\Gliem-2015-Hyperglycemia and PP	FALSE	TRUE	FALSE
0082844031\Campos-Martorell-2014-Rat middle cerebral	FALSE	TRUE	FALSE
0087748764\Lee-2015-Effect of a broad-sp	FALSE	TRUE	FALSE
0090234078\Miao-2015-5'-adenosine monopho	TRUE	FALSE	FALSE
0095120854\Moraga-2016-Imaging the role of	FALSE	TRUE	FALSE
0095215299\Zhu-2015-DDR1 may play a key	TRUE	FALSE	FALSE
0101554474\Noh-2015-Differential express	FALSE	FALSE	FALSE
0112448083\Veselkina-2015-Neuroprotective acti	TRUE	FALSE	FALSE
0112581589\Teves-2016-Efficacy of the PSD9	TRUE	TRUE	FALSE
0130380424\Nagai-2015-Intravenous Administ	FALSE	TRUE	FALSE
0134489878\Khan-2015-Promoting endothelia	TRUE	TRUE	FALSE
0145008821\Wu-2015-Inhibition of thiore	TRUE	TRUE	FALSE
0151994916\Certo-2015-Activation of RXR_PP	TRUE	TRUE	FALSE
0155909497\Zhang-2015-Treadmill exercise e	TRUE	TRUE	FALSE
0161150426\Kassis-2015-Stroke Induces Nucle	FALSE	FALSE	FALSE
0162981471\Lee-2015-Differential Migrati	TRUE	TRUE	FALSE
0165422996\Yu-2014-Enriched environment	TRUE	TRUE	FALSE
0175914511\Duong-2014-Pre-treatment with t	TRUE	FALSE	FALSE
0181871175\Varshosaz-2014-Niosomes of ascorbic	FALSE	FALSE	FALSE
